index,TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
0,1,201,00:00,0,0,0,0,0,0,0,0,0,95.460304
1,1,201,00:10,0,0,0,0,0,0,0,0,0,341.31653
2,1,201,00:20,0,0,0,0,0,0,0,0,0,337.37936
3,1,201,00:30,0,0,0,0,0,0,0,0,0,298.8493
4,1,201,00:40,0,0,0,0,0,0,0,0,0,249.71362
5,1,201,00:50,0,0,0,0,0,0,0,0,0,205.57259
6,1,201,01:00,0,0,0,0,0,0,0,0,0,177.88286
7,1,201,01:10,0,0,0,0,0,0,0,0,0,192.86638
8,1,201,01:20,0,0,0,0,0,0,0,0,0,221.30057
9,1,201,01:30,0,0,0,0,0,0,0,0,0,222.44952
10,1,201,01:40,0,0,0,0,0,0,0,0,0,233.6963
11,1,201,01:50,0,0,0,0,0,0,0,0,0,226.76627
12,1,201,02:00,0,0,0,0,0,0,0,0,0,235.39586
13,1,201,02:10,0,0,0,0,0,0,0,0,0,265.8106
14,1,201,02:20,0,0,0,0,0,0,0,0,0,316.85983
15,1,201,02:30,0,0,0,0,0,0,0,0,0,390.60846
16,1,201,02:40,0,0,0,0,0,0,0,0,0,477.6339
17,1,201,02:50,0,0,0,0,0,0,0,0,0,562.82745
18,1,201,03:00,0,0,0,0,0,0,0,0,0,626.9267
19,1,201,03:10,0,0,0,0,0,0,0,0,0,653.37964
20,1,201,03:20,0,0,0,0,0,0,0,0,0,633.3787
21,1,201,03:30,0,0,0,0,0,0,0,0,0,562.73486
22,1,201,03:40,0,0,0,0,0,0,0,0,0,450.6731
23,1,201,03:50,0,0,0,0,0,0,0,0,0,327.491
24,1,201,04:00,0,0,0,0,0,0,0,0,0,231.25586
25,1,201,04:10,0,0,0,0,0,0,0,0,0,168.80252
26,1,201,04:20,0,0,0,0,0,0,0,0,0,129.73056
27,1,201,04:30,0,0,0,0,0,0,0,0,0,101.76405
28,1,201,04:40,0,0,0,0,0,0,0,0,0,80.42665
29,1,201,04:50,0,0,0,0,0,0,0,0,0,63.57048
30,1,201,05:00,0,0,0,0,0,0,0,0,0,49.98075
31,1,201,05:10,0,0,0,0,0,0,0,0,0,40.215714
32,1,201,05:20,0,0,0,0,0,0,0,0,0,33.907406
33,1,201,05:30,0,0,0,0,0,0,0,0,0,30.091688
34,1,201,05:40,0,0,0,0,0,0,0,0,0,27.706709
35,1,201,05:50,0,0,0,0,0,0,0,0,0,26.744772
36,1,201,06:00,0,0,0,0,0,0,0,0,0,25.994322
37,1,201,06:10,0,0,0,0,0,0,0,0,0,26.78029
38,1,201,06:20,0,0,0,0,0,0,0,0,0,27.583948
39,1,201,06:30,0,0,0,0,0,0,0,0,0,29.38428
40,1,201,06:40,0,0,0,0,0,0,0,0,0,30.034029
41,1,201,06:50,0,0,0,0,0,0,0,0,0,27.506958
42,1,201,07:00,0,0,0,0,0,0,0,0,0,21.107817
43,1,201,07:10,0,0,0,0,0,0,0,0,0,13.457866
44,1,201,07:20,0,0,0,0,0,0,0,0,0,11.550811
45,1,201,07:30,0,0,0,0,0,0,0,0,0,15.8081
46,1,201,07:40,0,0,0,0,0,0,0,0,0,21.698502
47,1,201,07:50,0,0,0,0,0,0,0,0,0,28.547756
48,1,201,08:00,0,0,0,0,0,0,0,0,0,40.288555
49,1,201,08:10,0,0,0,0,0,0,0,0,0,56.059856
50,1,201,08:20,0,0,0,0,0,0,0,0,0,75.35763
51,1,201,08:30,0,0,0,0,0,0,0,0,0,98.47241
52,1,201,08:40,0,0,0,0,0,0,0,0,0,125.65369
53,1,201,08:50,0,0,0,0,0,0,0,0,0,160.34406
54,1,201,09:00,0,0,0,0,0,0,0,0,0,202.85995
55,1,201,09:10,0,0,0,0,0,0,0,0,0,255.68906
56,1,201,09:20,0,0,0,0,0,0,0,0,0,318.91733
57,1,201,09:30,0,0,0,0,0,0,0,0,0,389.12363
58,1,201,09:40,0,0,0,0,0,0,0,0,0,460.2041
59,1,201,09:50,0,0,0,0,0,0,0,0,0,520.4397
